kernel,status,clang,opt,bugle,instrumentation,vcgen,cruncher,repair,total
/datadrive/gpurepair/tests/testsuite/CUDA/always_inline/kernel.cu,PASS,0.135,0.009,0.005,0.254,0.375,0.495,0.627,1.901
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_all/kernel.cu,PASS,0.135,0.010,0.005,0.254,0.415,0.496,0.617,1.932
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_assert/kernel.cu,PASS,0.143,0.009,0.006,0.260,0.378,0.539,0.656,1.992
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_at_most_one/kernel.cu,PASS,0.159,0.010,0.011,0.255,0.415,0.497,0.668,2.015
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_assume/kernel.cu,PASS,0.139,0.009,0.006,0.295,0.415,0.536,0.661,2.060
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_contract/kernel.cu,PASS,0.144,0.009,0.004,0.256,0.415,0.616,0.659,2.104
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_axiom/kernel.cu,PASS,0.137,0.009,0.005,0.295,0.495,0.576,0.699,2.216
/datadrive/gpurepair/tests/testsuite/Bugged/unnecessary_barrier/kernel.cu,PASS,0.134,0.009,0.006,0.295,0.495,0.576,0.744,2.260
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_distinct/kernel.cu,PASS,0.134,0.009,0.006,0.256,0.496,0.777,0.659,2.338
/datadrive/gpurepair/tests/testsuite/Bugged/race/kernel.cu,PASS,0.134,0.009,0.005,0.295,0.496,0.577,0.897,2.412
/datadrive/gpurepair/tests/testsuite/Bugged/single_line_race/kernel.cu,PASS,0.138,0.009,0.004,0.295,0.498,0.581,0.905,2.430
/datadrive/gpurepair/tests/testsuite/Bugged/race_writeread/kernel.cu,PASS,0.135,0.009,0.005,0.294,0.535,0.619,0.898,2.496
/datadrive/gpurepair/tests/testsuite/Bugged/divergence/kernel.cu,FAIL(202),0.134,0.009,0.005,0.296,0.495,0.617,0.980,2.537
/datadrive/gpurepair/tests/testsuite/Bugged/unrepairable/kernel.cu,FAIL(202),0.135,0.009,0.006,0.295,0.497,0.583,1.017,2.542
/datadrive/gpurepair/tests/testsuite/CUDA/align/kernel.cu,PASS,0.156,0.009,0.006,0.295,0.537,0.865,0.741,2.610
/datadrive/gpurepair/tests/testsuite/Bugged/multiple_race/kernel.cu,PASS,0.136,0.009,0.005,0.295,0.498,0.616,1.225,2.784
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_enabled_and_uniform/kernel.cu,PASS,0.137,0.014,0.018,0.277,0.499,0.659,0.617,2.220
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_ensures/kernel.cu,PASS,0.135,0.017,0.007,0.307,0.456,0.656,0.699,2.276
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_for_loop_invariant/kernel.cu,PASS,0.152,0.010,0.006,0.295,0.538,0.625,0.624,2.249
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_norace/kernel.cu,PASS,0.143,0.018,0.006,0.296,0.496,0.616,0.664,2.239
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_no_readwrite/kernel.cu,PASS,0.139,0.012,0.007,0.304,0.538,0.622,0.659,2.281
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_while_loop_invariant/kernel.cu,PASS,0.141,0.009,0.005,0.263,0.495,0.661,0.618,2.192
/datadrive/gpurepair/tests/testsuite/CUDA/argument_promotion/kernel.cu,PASS,0.136,0.009,0.006,0.300,0.459,0.581,0.696,2.186
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_requires/kernel.cu,PASS,0.138,0.030,0.007,0.302,0.536,0.704,0.656,2.373
/datadrive/gpurepair/tests/testsuite/CUDA/atomics/device_global/kernel.cu,PASS,0.135,0.009,0.005,0.263,0.416,0.542,0.656,2.026
/datadrive/gpurepair/tests/testsuite/CUDA/atomics/add_one/kernel.cu,PASS,0.134,0.016,0.006,0.295,0.460,0.616,0.737,2.264
/datadrive/gpurepair/tests/testsuite/CUDA/atomics/add_tid/kernel.cu,FAIL(202),0.146,0.009,0.006,0.299,0.497,0.619,0.701,2.278
/datadrive/gpurepair/tests/testsuite/CUDA/atomics/add_zero/kernel.cu,FAIL(202),0.141,0.009,0.006,0.296,0.457,0.618,0.744,2.270
/datadrive/gpurepair/tests/testsuite/CUDA/atomics/pointer_add/kernel.cu,PASS,0.134,0.009,0.006,0.295,0.457,0.580,0.700,2.181
